Timestamp,Page URL,Error Category,Error Subcategory,Severity Level,Error Message,Source File,Line Number,Stack Trace,Error Count,Browser Info,Recommendations
2025-09-17 22:48:04,https://www.pharmacymentor.com/vision/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:48:13,https://www.pharmacymentor.com/social-media-scheduling/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:48:13,https://www.pharmacymentor.com/social-media-scheduling/,GENERAL_ERROR,UNKNOWN_ERROR,HIGH,https://app-cdn.clickup.com/assets/js/forms-embed/v1.js 564 Failed to execute 'postMessage' on 'DOMWindow': The target origin provided ('https://forms.clickup.com') does not match the recipient window's origin ('https://www.pharmacymentor.com').,null,0,null,1,Chrome Headless,Investigate and categorize this error type
2025-09-17 22:48:22,https://www.pharmacymentor.com/google-ads-pharmacy/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:48:29,https://www.pharmacymentor.com/privacy-policy/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:48:40,https://www.pharmacymentor.com/careers/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:48:40,https://www.pharmacymentor.com/careers/,NETWORK_ERROR,RESOURCE_LOAD_FAILURE,CRITICAL,https://www.glassdoor.co.uk/static/js/api/widget/v1.js - Failed to load resource: net::ERR_BLOCKED_BY_RESPONSE.NotSameOrigin,null,0,null,1,Chrome Headless,Verify resource URLs and server availability
2025-09-17 22:48:40,https://www.pharmacymentor.com/careers/,NETWORK_ERROR,RESOURCE_LOAD_FAILURE,CRITICAL,https://www.glassdoor.co.uk/static/js/api/widget/v1.js - Failed to load resource: net::ERR_BLOCKED_BY_RESPONSE.NotSameOrigin,null,0,null,1,Chrome Headless,Verify resource URLs and server availability
2025-09-17 22:48:40,https://www.pharmacymentor.com/careers/,NETWORK_ERROR,RESOURCE_LOAD_FAILURE,CRITICAL,https://www.glassdoor.co.uk/static/js/api/widget/v1.js - Failed to load resource: net::ERR_BLOCKED_BY_RESPONSE.NotSameOrigin,null,0,null,1,Chrome Headless,Verify resource URLs and server availability
2025-09-17 22:48:50,https://www.pharmacymentor.com/instructors/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
